,Paradiso,Parafrasi
341,"Li nostri affetti, che solo infiammati","I nostri sentimenti, che ardono solo nella"
342,"son nel piacer de lo Spirito Santo,","gioia dello Spirito Santo, traggono felicità dall’essere "
343,letizian del suo ordine formati.,conformi all’ordine da lui stabilito. E questa
344,"E questa sorte che par giù cotanto,","condizione che appare così bassa, ci è data per"
345,"però n’è data, perché fuor negletti","questo, perché i nostri voti furono "
346,"li nostri voti, e vòti in alcun canto».",trascurati  e mancanti in alcune parti».
347,Ond’ io a lei: «Ne’ mirabili aspetti,E io  a lei: «Nelle vostre meravigliose
348,vostri risplende non so che divino,sembianze riluce qualcosa di sovrannaturale che
349,che vi trasmuta da’ primi concetti:,vi trasfigura dalle immagini  primitive;
350,però non fui a rimembrar festino;,per questo non sono stato sollecito  nel
351,"ma or m’aiuta ciò che tu mi dici,",ricordarmi; ma adesso le cose che tu mi dici mi
352,sì che raffigurar m’è più latino.,"aiutano, così che mi è più facile  riconoscerti."
353,"Ma dimmi: voi che siete qui felici,","Ma dimmi: voi, che in questo cielo avete la vostra"
354,disiderate voi più alto loco,"felicità, non desiderate un luogo più elevato per"
355,per più vedere e per più farvi amici?».,contemplare e amare meglio  Dio?».
356,Con quelle altr’ ombre pria sorrise un poco;,Prima accennò appena un sorriso insieme
357,"da indi mi rispuose tanto lieta,","alle altre anime, e poi rispose con tanta gioia che"
358,ch’arder parea d’amor nel primo foco:,sembrava infiammata di amore divino :
359,"«Frate, la nostra volontà quïeta","«Fratello, la forza della carità appaga  il nostro"
360,"virtù di carità, che fa volerne","desiderio, che ci fa desiderare soltanto ciò che"
361,"sol quel ch’avemo, e d’altro non ci asseta.","abbiamo, e non ci fa sentire il bisogno di altro."
362,"Se disïassimo esser più superne,","Se desiderassimo essere più in alto , "
363,foran discordi li nostri disiri,i nostri desideri sarebbero contrastanti 
364,dal voler di colui che qui ne cerne;,"con la volontà di Dio, che ci distribuisce qui; "
365,"che vedrai non capere in questi giri,",il che tu capirai che in questi cieli 
366,"s’essere in carità è qui necesse,","non può aver luogo , dato che è necessario qui"
367,e se la sua natura ben rimiri.,"essere in spirito di carità, e se rifletti bene sulla sua natura."
368,Anzi è formale ad esto beato esse,È anzi essenziale  alla condizione di vita beata 
369,"tenersi dentro a la divina voglia,","stare all’interno della volontà divina,"
370,per ch’una fansi nostre voglie stesse;,per cui i nostri stessi desideri diventano uno solo;
371,"sì che, come noi sem di soglia in soglia",cosicché a tutto il Paradiso  piace
372,"per questo regno, a tutto il regno piace",come noi siamo distribuite di gradino in gradino nei
373,com’ a lo re che ’n suo voler ne ’nvoglia.,"vari cieli, come piace al re, che ci fa desiderare ciò"
374,E ’n la sua volontade è nostra pace:,che lui vuole. Nella sua volontà è la nostra beatitudine: 
375,ell’ è quel mare al qual tutto si move,essa è quel mare verso cui scorre tutto ciò
376,ciò ch’ella crïa o che natura face».,che ha creato e ciò che la natura opera».
377,Chiaro mi fu allor come ogne dove,"Mi fu chiaro, a quel punto, come in cielo"
378,"in cielo è paradiso, etsi la grazia","ogni luogo sia di beatitudine , sebbene"
379,del sommo ben d’un modo non vi piove., la Grazia divina  non vi scenda
380,"Ma sì com’ elli avvien, s’un cibo sazia",in egual misura . Ma come accade
381,"e d’un altro rimane ancor la gola,","che, se di un cibo ci si è saziati e rimane golosità"
382,"che quel si chere e di quel si ringrazia,","di un altro cibo, si ringrazia di quello e si chiede"
383,"così fec’ io con atto e con parola,"," di questo, così feci io con l’atteggiamento"
384,per apprender da lei qual fu la tela," e con le parole, per sapere da lei quale fu la"
385,onde non trasse infino a co la spuola.,tela ordita di cui  non portò a termine  la spola.
386,«Perfetta vita e alto merto inciela,Mi disse: «Santità di vita e nobili meriti  
387,"donna più sù», mi disse, «a la cui norma","pongono in cieli più alti una donna , "
388,"nel vostro mondo giù si veste e vela,","seguendo la cui regola sulla vostra terra si prende l’abito e il velo monacale, "
389,perché fino al morir si vegghi e dorma,perché si vegli  e si dorma fino alla morte 
390,con quello sposo ch’ogne voto accetta,con Cristo  che accoglie tutti i voti 
391,che caritate a suo piacer conforma.,che la carità rende concordi al suo volere.
392,"Dal mondo, per seguirla, giovinetta","Per seguirla, fuggii da adolescente dal mondo civile, "
393,"fuggi’mi, e nel suo abito mi chiusi",e riparai sotto la veste monacale 
394,e promisi la via de la sua setta.,e feci voto di seguire la strada del suo ordine. 
395,"Uomini poi, a mal più ch’a bene usi,","Ma poi degli uomini, soliti più al male che alla virtù, "
396,fuor mi rapiron de la dolce chiostra:,mi strapparono fuori del caro monastero : 
397,Iddio si sa qual poi mia vita fusi.,Dio solo può sapere quale vita condussi  da quel momento in poi.
398,E quest’ altro splendor che ti si mostra,E quest’altra anima fulgente che vedi
399,da la mia destra parte e che s’accende,alla mia destra e che si illumina di tutta la luce di
400,"di tutto il lume de la spera nostra,",questo cielo può attribuire a se stessa quello che
401,"ciò ch’io dico di me, di sé intende;","ho narrato di me: fu monaca , e similmente "
402,"sorella fu, e così le fu tolta",le fu strappato dal capo il santo velo che le ombreggiava il volto. 
403,di capo l’ombra de le sacre bende.,Ma anche quando fu riportata  
404,Ma poi che pur al mondo fu rivolta,nel mondo civile contro il suo volere e contro
405,"contra suo grado e contra buona usanza,","ogni norma morale , non si allontanò"
406,non fu dal vel del cor già mai disciolta.,mai nel suo cuore da quel velo. Questo è lo spirito
407,Quest’ è la luce de la gran Costanza,"della nobile  Costanza, che diede al mondo,"
408,che del secondo vento di Soave,"dal secondo imperatore  di Svevia,"
409,generò ’l terzo e l’ultima possanza».,il terzo e ultimo signore ».
410,"Così parlommi, e poi cominciò ‘Ave,","Così mi parlò, poi cominciò a cantare"
411,"Maria’ cantando, e cantando vanio","‘Ave Maria’, e cantando svanì come un oggetto "
412,come per acqua cupa cosa grave.,pesante  in acqua profonda .
413,"La vista mia, che tanto lei seguio","La mia vista, che tanto la seguì quanto fu possibile,"
414,"quanto possibil fu, poi che la perse,",dopo averla persa si volse verso
415,"volsesi al segno di maggior disio,","l’oggetto   di maggior desiderio,"
416,e a Beatrice tutta si converse;,e si rivolse tutta a Beatrice;
417,ma quella folgorò nel mïo sguardo,ma quella folgorò nei miei occhi in modo tale 
418,sì che da prima il viso non sofferse;,che immediatamente lo sguardo non lo resse; 
419,e ciò mi fece a dimandar più tardo.,e questo mi rese più lento  nel domandare.
420,"Intra due cibi, distanti e moventi","Tra due cibi ugualmente  distanti e stimolanti, "
421,"d’un modo, prima si morria di fame,",un uomo libero morirebbe di fame prima di portarsene uno alla bocca; 
422,che liber’ omo l’un recasse ai denti;,ugualmente  un agnello rimarrebbe immobile 
423,sì si starebbe un agno intra due brame,"tra la voracità di due lupi selvaggi , "
424,"di fieri lupi, igualmente temendo;",avendone paura nella stessa misura; 
425,sì si starebbe un cane intra due dame:,altrettanto farebbe un cane da caccia tra due daini : 
426,"per che, s’i’ mi tacea, me non riprendo,","pertanto, se stavo zitto, non rimprovero me stesso, "
427,"da li miei dubbi d’un modo sospinto,","stimolato in ugual misura  dai miei dubbi, "
428,"poi ch’era necessario, né commendo.","poiché era inevitabile, né mi lodo . "
429,"Io mi tacea, ma ’l mio disir dipinto","Io stavo zitto, ma traspariva sul mio volto  il desiderio "
430,"m’era nel viso, e ’l dimandar con ello,","e insieme  la domanda, molto più ferventi "
431,più caldo assai che per parlar distinto.,che se fossero stati espressi  a parole.
432,"Fé sì Beatrice qual fé Danïello,","Beatrice fece la stessa cosa del profeta Daniele, "
433,"Nabuccodonosor levando d’ira,",quando aveva sollevato il re Nabucodonosor dall’ira 
434,che l’avea fatto ingiustamente fello;,"che lo aveva reso ingiustamente crudele , e mi disse: "
435,e disse: «Io veggio ben come ti tira,"«Vedo bene come i tuoi due desideri ti attirino a tal punto, "
436,"uno e altro disio, sì che tua cura",che la tua preoccupazione si intralcia  da sola 
437,sé stessa lega sì che fuor non spira.,in modo che non riesce a esprimersi.
438,"Tu argomenti: “Se ’l buon voler dura,",Tu fai questo ragionamento : 
439,la vïolenza altrui per qual ragione,"‘Se un’intenzione buona continua, per quale motivo la"
440,di meritar mi scema la misura?”.,violenza degli altri può diminuire  la quantità del merito?’. 
441,Ancor di dubitar ti dà cagione,Inoltre  è per te motivo di dubbio il fatto 
442,"parer tornarsi l’anime a le stelle,",che sembri che le anime  ritornino 
443,secondo la sentenza di Platone.,"sulle stelle, come afferma Platone. "
444,Queste son le question che nel tuo velle,Queste sono le domande che premono 
445,pontano igualmente; e però pria,con ugual forza sulla tua volontà ; e perciò parlerò
446,tratterò quella che più ha di felle.,per prima di quella che contiene più veleno .
447,"D’i Serafin colui che più s’india,","Il Serafino che più si profonda in Dio ,"
448,"Moïsè, Samuel, e quel Giovanni","Mosè, Samuele, e quello dei due Giovanni  "
449,"che prender vuoli, io dico, non Maria,","che tu voglia, dico tutti, non esclusa la Madonna, "
450,non hanno in altro cielo i loro scanni,non hanno la loro sede  in un cielo diverso 
451,"che questi spirti che mo t’appariro,","da quello delle anime che ti sono appena  apparse, "
452,né hanno a l’esser lor più o meno anni;,e la loro esistenza non ha una maggiore o minore durata; 
453,"ma tutti fanno bello il primo giro,","tutte invece adornano il cielo più alto, "
454,e differentemente han dolce vita,e godono di una diversa beatitudine  
455,per sentir più e men l’etterno spiro.,per la loro maggiore minore capacità di accogliere  l’amore divino .
456,"Qui si mostraro, non perché sortita", ti sono apparse qui non perché a loro 
457,"sia questa spera lor, ma per far segno","sia destinata questa sfera, ma come simbolo sensibile "
458,de la celestïal c’ha men salita., della loro più bassa condizione celeste. 
459,"Così parlar conviensi al vostro ingegno,","All’intelletto umano è necessario parlare così, "
460,però che solo da sensato apprende,perché solo dai dati sensibili  può cominciare 
461,ciò che fa poscia d’intelletto degno.,a conoscere le cose che poi eleverà  alla sfera intellettiva.
462,Per questo la Scrittura condescende,È per questo motivo che la Bibbia si adatta  
463,"a vostra facultate, e piedi e mano","alle vostre capacità, e descrive Dio con mani e piedi, "
464,attribuisce a Dio e altro intende;,ma vuole significare altre cose; 
465,e Santa Chiesa con aspetto umano,"e la Santa Chiesa rappresenta con aspetto umano,"
466,"Gabrïel e Michel vi rappresenta,","per voi, gli arcangeli Gabriele, Michele "
467,e l’altro che Tobia rifece sano.,e l’altro che guarì Tobia .
468,Quel che Timeo de l’anime argomenta,"Ciò che Platone, nella sua opera Timeo, "
469,"non è simile a ciò che qui si vede,",afferma sullo stato delle anime non si accorda 
470,"però che, come dice, par che senta.","con quello che si può vedere in questi cieli, "
471,"Dice che l’alma a la sua stella riede,",poiché sembra che egli creda veramente  a quanto dice. 
472,credendo quella quindi esser decisa,"Egli afferma che l’anima torna alla propria stella, "
473,quando natura per forma la diede;,poiché pensa che si sia staccata  da questa 
474,e forse sua sentenza è d’altra guisa,quando la natura l’unì  come suo principio vitale ;
475,"che la voce non suona, ed esser puote","e forse la sua opinione è di tipo diverso da come è espressa a parole, "
476,con intenzion da non esser derisa.,e può avere un significato degno di non essere deriso.
477,S’elli intende tornare a queste ruote,Se egli intende far risalire ai diversi cieli i meriti 
478,"l’onor de la influenza e ’l biasmo, forse","e le colpe  delle influenze celesti, "
479,in alcun vero suo arco percuote.,forse il suo ragionamento  colpisce una parte di verità.
480,"Questo principio, male inteso, torse","Tale principio, frainteso, traviò quasi tutte le genti, "
481,"già tutto il mondo quasi, sì che Giove,",così che per molto tempo si giunse  
482,Mercurio e Marte a nominar trascorse.,"a dare ai cieli i nomi  di Giove, Mercurio e Marte."
483,L’altra dubitazion che ti commove,"L’altro dubbio che ti turba  è meno pericoloso, "
484,"ha men velen, però che sua malizia",perché ciò che in esso vi è di male  
