,Paradiso,gpt_parafrasi
166," «Perfetta vita e alto merto inciela donna più sù», mi disse, ",Mi disse che una donna con una vita eccellente e grandi meriti sarà innalzata a posizioni più elevate nel Cielo.
167," «a la cui norma nel vostro mondo giù si veste e vela, ","Secondo le regole stabilite sulla Terra, ci si deve coprire con abiti e veli."
168," perché fino al morir si vegghi e dorma con quello sposo ch’ogne voto accetta che caritate a suo piacer conforma","al fine di restare con quello sposo sino alla morte, vegliando e dormendo e accettando ogni voto che la carità conforma a suo gradimento."
169," Dal mondo, per seguirla, giovinetta fuggi’mi, e nel suo abito mi chiusi e promisi la via de la sua setta","Fuggii dal mondo per inseguirla quando era una fanciulla e indossai l'abito del suo Ordine, giurando di rispettare le sue regole."
170," Uomini poi, a mal più ch’a bene usi, fuor mi rapiron de la dolce chiostra",Io fui rapita dal mio dolce convento da uomini che avevano più familiarità col male che con il bene.
171," Iddio si sa qual poi mia vita fusi",Iddio conosce come è andata la mia vita.
172," E quest’ altro splendor che ti si mostra da la mia destra parte e che s’accende di tutto il lume de la spera nostra, ",E a destra di me una luce brillante ed intensa che riflette tutta la luminosità del nostro Cielo.
173," ciò ch’io dico di me, di sé intende",Comprende a fondo ciò che esprimo riguardo a me stessa.
174," sorella fu, e così le fu tolta di capo l’ombra de le sacre bende",Le fu rimosso il velo dalla testa allo stesso modo in cui era stata suora.
175," Ma poi che pur al mondo fu rivolta contra suo grado e contra buona usanza, non fu dal vel del cor già mai disciolta","Anche se il mondo la spinse contro la sua volontà e ogni norma di buon senso, non poté separarla dal velo del cuore."
176," Quest’ è la luce de la gran Costanza che del secondo vento di Soave generò ’l terzo e l’ultima possanza»","Costanza d'Altavilla fu sorella dell'Imperatore II di Svevia e madre del terzo imperatore, che rappresentò l'ultimo della dinastia."
177," Così parlommi, e poi cominciò ‘Ave, Maria’ cantando, e cantando vanio come per acqua cupa cosa grave","Così mi riferì, e poi intonò 'Ave, Maria' fino a dissiparsi come una pietra che affonda nell'acqua scura."
178," La vista mia, che tanto lei seguio quanto possibil fu, poi che la perse, volsesi al segno di maggior disio, ","Il mio sguardo, che la inseguì finché fu possibile, poi allontanatosi quando non riuscì più a vederla, tornò a posarsi sull'oggetto principale del suo desiderio."
179," e a Beatrice tutta si converse",Beatrice fu fissata da lui
180," ma quella folgorò nel mïo sguardo sì che da prima il viso non sofferse","ma lei mi colpì così intensamente con il suo sguardo che, in un primo momento, non riuscii a sopportarlo"
181," e ciò mi fece a dimandar più tardo",e questo mi rese più riluttante a chiedere aiuto.
182," Intra due cibi, distanti e moventi d’un modo, prima si morria di fame, che liber’ omo l’un recasse ai denti","Un uomo con la libertà di scelta, collocato tra due alimenti posti a pari distanza l'uno dall'altro e altrettanto graditi, non riuscirebbe ad ingerirne nessuno per via della fame."
183," sì si starebbe un agno intra due brame di fieri lupi, igualmente temendo","Così un agnello si troverebbe in mezzo a due lupi che desiderano divorarlo, mentre prova paura sia verso l'uno che verso l'altro."
184," sì si starebbe un cane intra due dame",Sarebbe come se un cane si trovasse tra due cerbiatti
185," per che, s’i’ mi tacea, me non riprendo, da li miei dubbi d’un modo sospinto, poi ch’era necessario, né commendo","Non posso biasimare o lodare me stesso per il mio silenzio, poiché ero soggetto alle mie incertezze e non mi restava altra scelta."
186," Io mi tacea, ma ’l mio disir dipinto m’era nel viso, e ’l dimandar con ello, più caldo assai che per parlar distinto","Non dicevo nulla, ma il mio desiderio era chiaro sul mio volto e insieme a questo c'era la mia domanda, ancora più evidente di se avessi espresso le parole."
187," Fé sì Beatrice qual fé Danïello, Nabuccodonosor levando d’ira, che l’avea fatto ingiustamente fello","Beatrice seguì l'esempio di Daniele quando mitigò la rabbia di Nabucodonosor, che era diventato iniquamente spietato."
188," e disse",E disse
189," «Io veggio ben come ti tira uno e altro disio, sì che tua cura sé stessa lega sì che fuor non spira",Entrambe le tue aspirazioni sembrano attirarti così tanto che la tua preoccupazione resta intrappolata dentro di te ed è invisibile per gli altri.
190," Tu argomenti",Tu sei della stessa opinione
191," “Se ’l buon voler dura, la vïolenza altrui per qual ragione di meritar mi scema la misura?”","Se persiste l'impegno, perché la violenza altrui riduce le ricompense che meriterei?"
192," Ancor di dubitar ti dà cagione parer tornarsi l’anime a le stelle, secondo la sentenza di Platone","Platone pensa che le anime possano ritornare alle stelle, cosa che mette in dubbio molti."
193," Queste son le question che nel tuo velle pontano igualmente",Questi sono i temi che solleticano in egual misura la tua volontà
194," e però pria tratterò quella che più ha di felle",Inizierò con quella che presenta la maggiore sfida dottrinaria.
195," D’i Serafin colui che più s’india, Moïsè, Samuel, e quel Giovanni che prender vuoli, io dico, non Maria, ","Quel Serafino che si avvicina di più a Dio, Mosè, Samuele, Giovanni Battista o l'Evangelista - persino Maria."
196," non hanno in altro cielo i loro scanni che questi spirti che mo t’appariro, né hanno a l’esser lor più o meno anni","Essi vivono nello stesso Cielo dei spiriti che ti hanno appena visitato, ma senza limitazioni di tempo."
197," ma tutti fanno bello il primo giro, e differentemente han dolce vita per sentir più e men l’etterno spiro",Tutti loro decoreranno il più alto dei cieli e godranno di un grado di benessere diverso a seconda che si sentano ispirati maggiormente o meno dallo Spirito Santo.
198," Qui si mostraro, non perché sortita sia questa spera lor, ma per far segno de la celestïal c’ha men salita","Si sono presentati qui nel primo Cielo non in quanto essa fosse stata loro assegnata come residenza, ma per mostrare chiaramente la modestia del loro stato di beatitudine."
199," Così parlar conviensi al vostro ingegno, però che solo da sensato apprende ciò che fa poscia d’intelletto degno","Ascoltate ciò che i vostri sensi percepiscono, poiché attraverso di essi possono acquisire quelle conoscenze necessarie per l'intelligenza."
200," Per questo la Scrittura condescende a vostra facultate, e piedi e mano attribuisce a Dio e altro intende","La Scrittura si adatta al vostro modo di pensare e descrive Dio come avendo caratteristiche fisiche, ma con un intento diverso."
201," e Santa Chiesa con aspetto umano Gabrïel e Michel vi rappresenta, e l’altro che Tobia rifece sano","La Santa Chiesa rappresenta gli arcangeli Gabriele e Michele in forma umana, così come l'altro angelo che curò Tobia."
202," Quel che Timeo de l’anime argomenta non è simile a ciò che qui si vede, però che, come dice, par che senta","Secondo Platone, il Timeo afferma qualcosa di differente da ciò che percepiamo nella realtà; sembra che egli intenda proprio quello che dice."
203," Dice che l’alma a la sua stella riede, credendo quella quindi esser decisa quando natura per forma la diede","Secondo Platone, quando la natura ha dotato l'anima di un aspetto fisico, questa si è separata dalla sua stella; ma dopo la morte ritornerebbe al suo punto di partenza."
204," e forse sua sentenza è d’altra guisa che la voce non suona, ed esser puote con intenzion da non esser derisa","Forse la sua interpretazione è diversa dall'intended letterale, e pertanto non deve essere derisa."
205," S’elli intende tornare a queste ruote l’onor de la influenza e ’l biasmo, forse in alcun vero suo arco percuote",Forse Platone non è lontano dalla verità se afferma che queste sfere celesti abbiano un'influenza benemerita o nociva.
206," Questo principio, male inteso, torse già tutto il mondo quasi, sì che Giove, Mercurio e Marte a nominar trascorse","Grazie alla scorretta comprensione di questo insegnamento, la maggior parte dei popoli ha commesso un errore identificando i pianeti con Giove, Mercurio, Marte"
207," L’altra dubitazion che ti commove ha men velen, però che sua malizia non ti poria menar da me altrove","La tua altra domanda è meno minacciosa, poiché non può allontanarti da me grazie alla sua malizia."
208," Parere ingiusta la nostra giustizia ne li occhi d’i mortali, è argomento di fede e non d’eretica nequizia",L'idea che la giustizia divina possa sembrare ingiusta agli uomini è un punto di fede piuttosto che di eresia.
209," Ma perché puote vostro accorgimento ben penetrare a questa veritate, come disiri, ti farò contento","Il tuo intelletto è accorto abbastanza da cogliere questa verità, quindi farò come hai chiesto."
210," Se vïolenza è quando quel che pate nïente conferisce a quel che sforza, non fuor quest’ alme per essa scusate","Se colui che subisce la violenza non ha dato alcun consenso a chi l'ha perpetrata, allora queste anime non vennero assolte per tale atto."
211," ché volontà, se non vuol, non s’ammorza, ma fa come natura face in foco, se mille volte vïolenza il torza","La volontà, come il fuoco, non può essere soppressa dalla forza ma tende inevitabilmente al suo naturale percorso ascendente - anche se tentata di andare in direzione opposta."
212," Per che, s’ella si piega assai o poco, segue la forza","Se la volontà si arrende, anche solo in parte, allora cediamo alla violenza."
213," e così queste fero possendo rifuggir nel santo loco","Così, le anime ebbero la possibilità di ritornare nel loro convento."
214," Se fosse stato lor volere intero, come tenne Lorenzo in su la grada, e fece Muzio a la sua man severo, ","Se la loro determinazione fosse stata forte come quella dimostrata da San Lorenzo sulla graticola e dal mitico Mucio Scevola che sacrificò la sua mano,"
215," così l’avria ripinte per la strada ond’ eran tratte, come fuoro sciolte",avrebbe riportato loro indietro sulla strada di origine non appena erano state liberate da qualsiasi ostacolo fisico.
216," ma così salda voglia è troppo rada",ma una volontà superiore così straordinaria è estremamente rara.
217," E per queste parole, se ricolte l’hai come dei, è l’argomento casso che t’avria fatto noia ancor più volte","Grazie al mio discorso, se è stato compreso nel modo giusto, abbiamo dimostrato che l'argomento non può più ferirti."
218," Ma or ti s’attraversa un altro passo dinanzi a li occhi, tal che per te stesso non usciresti","Ora, un dubbio nuovo ti si pone davanti, così da non poterlo risolvere da solo."
219," pria saresti lasso",prima avresti perso
220," Io t’ho per certo ne la mente messo ch’alma beata non poria mentire, però ch’è sempre al primo vero appresso","Ho assicurato con certezza che l'anima beata non è capace di mentire, poiché è inseparabile dalla verità divina."
221," e poi potesti da Piccarda udire che l’affezion del vel Costanza tenne",Poi Piccarda ha riferito che Costanza mantenne l'impegno verso la disciplina conventuale anche a livello interiore.
