Originale,Traduzione EN
S'alcun lo vi volesse aprossimare:,if any one of these would approach too close. 
Ché perduti ne son molti castelli,For many castles have been lost 
Per non prendersi guardia del cavare.,by those who failed to note their enemies’ ploys.
Ancor fe' far traboc[c]hi e manganelli,"Jealousy had still other weapons made, "
Per li nemici lungi far istare,such as catapults that would keep the enemies far away 
E servirli di pietre e di quadrelli.,by pelting them with stones and darts.
Quand'el[l]'eb[b]e il castel di guernigione,As soon as she had the castle supplied 
"Fornito sì com'egli era mestiere,","with weapons as was necessary, "
"Ad ogne porta mise su' portiere,",she put watchmen at every door:
De' più fidati c[h]'avea in sua magione:,these were the most trusted in her household.
"E perch'ella dottava tradigione,","And since she feared betrayal, "
"Mise lo Schifo in sul portal primiere,","she placed Resistance at the main door, "
Perch'ella il sentia aspro cavaliere;,because she knew he was a determined knight. 
"Al secondo, la figlia di Ragione,",At the second gate she put Reason’s daughter - 
"Ciò fu Vergogna, che fe' gran difensa;",Modesty - who provided great defense; 
"La terza porta sì guardò Paura,","the third gate was guarded by Fear, "
Ch'iera una donna di gran provedenza;,a lady famous for her shrewdness;
"Al quarto portal, dietro da le mura,","and at the fourth gate, behind the wall, "
"Fu messo Mala-Boc[c]a, la cui 'ntenza",Bad Mouth stood: his constant purpose 
Ferm'iera a dir mal d'ogne crïatura.,was to say evil things about everyone.
Bellacoglienza fu nella fortez[z]a,Fair Welcome was put and enclosed 
Per man di Gelosia mess' e fermata.,"inside the fortress by Jealousy, "
Ad una vec[c]hia l'eb[b]e acomandata,who charged an old woman 
Che•lla tenesse tuttor in distrez[z]a;,to keep her always under lock and key.
"Ch'ella dottava molto su' bellez[z]a,","Jealousy greatly feared her beauty, "
"Che Castità à tuttor guer[r]eg[g]iata,","which Chastity has always defended, "
"E Cortesïa, di cu' era nata,","and that Lady Courtesy, who is her mother, "
No•lle facesse far del fior larghez[z]a.,might make her give away the Flower.
Ver è ched ella sì 'l fece piantare,And so it is true that she had it planted 
"Là 've Bellacoglienza era 'n pregione,","there where Fair Welcome was imprisoned, "
Ch'altrove no'l sapea dove fidare.,for she knew of no other safe place.
"Lassù non dottav'ella tradigione,","There on top she feared no betrayal, "
"Ché quella vec[c]hia, a cu' 'l diede a guardare,","for that old woman, to whom she gave it for safekeeping, "
Sì era del lignag[g]io Salvagnone.,was a descendant of Salvagnone.
"Gelosia andava a proveder le porte,",Jealousy went to check the doors 
Sì trovava le guardie ben intese,and found the guards alert and ready 
Contra ciascuno star a le difese,"to ward off all attacks, "
E per donar e per ricever morte;,as well as to give and to suffer death.
E Mala-Bocca si sforzava forte,Bad Mouth was trying very hard 
In ogne mi' sacreto far palese:,to make me reveal all my secrets: 
"Que' fu 'l nemico che più mi v'afese,","he was the enemy who gave me the most trouble, "
Ma sopra lui ricad[d]or poi le ,but it was he instead who received the most harm.
.,All day and night to the sound of his horn 
Que' non finava né notte né giorno,"that one kept on shouting: “Look, look!” "
"A suon di corno gridar: “Guarda, guarda!”;","And he circled all around the walls,"
E giva per le mura tutto 'ntorno,"saying: “That one is a whore, and that one paints her face; "
"Dicendo: “Tal è putta e tal si farda,","that other one has a really hot oven,"
"E la cotal à troppo caldo il forno,",and that other one casts her rash and roving eye on men.”
E l'altra follemente altrù' riguarda”.,
Quand'i' vidi i marosi sì 'nforzare,"When I saw the waves rise ever higher, "
"Per lo vento a Provenza che ventava,","because of the wind that blew from Provence,"
"C[h]'alberi e vele e ancole fiac[c]ava,","such that masts and sails and anchors broke, "
"E nulla mi valea il ben governare,","and my good steering was to no avail,"
Fra me medesmo comincià' a pensare,I began to think in my heart of hearts 
"Ch'era follïa se più navicava,","that it was madness to pursue my course, "
Se quel maltempo prima non passava,"until that bad weather passed, "
Che dal buon porto mi facé' alu[n]giare:,which was keeping me far from the good harbor.
"Sì ch'i' allor m'ancolai a una piag[g]ia,","Thus, I anchored myself upon a beach, "
Veg[g]endo ch'i' non potea entrar in porto:,seeing that I could not enter the harbor; 
La terra mi parea molto salvaggia.,the land seemed very inhospitable to me.
I' vi vernai co•molto disconforto.,There I passed the winter in much discomfort. 
Non sa che mal si sia chi non asaggia,He does not know what pain is who has not experienced 
"Di quel d'Amor, ond'i' fu' quasi morto.","the pain of Love, because of which I almost died."
"Pianto, sospiri, pensieri e afrizione","With weeping, sighs, thoughts and affliction "
"Eb[b]i vernando in quel salvag[g]io loco,","I passed the winter in that harsh place,"
Ché pena de•ninferno è riso e gioco,for the pain of Hell is laughter and play 
Ver' quella ch'i' soffersi a la stagione,compared to that which I suffered that season
C[h]'Amor mi mise a tal distruzïone,when Love put me in such distress 
Ch'e' no•mi die' sog[g]iorno as[s]à' né poco:,"and gave me no truce, neither little nor great: "
"Un'or mi tenne in ghiaccio, un'altra 'n foco.","one moment he kept me cold as ice, another on fire: "
"Molto m'atten[n]e ben sua promessione,","Love certainly kept the promise he made to me,"
Ma non di gioia né di nodrimento:,but not his promise of joy or nourishment! 
Ch'e' di speranza mi dovea nodrire,"He should have nourished me with hope, "
Insin ched e' mi desse giug[g]iamento.,at least until he pronounced his verdict.
"Digiunar me ne fece, a ver vo dire;","To tell you the truth he made me fast, "
"Ma davami gran pez[z]e di tormento,","while giving me large servings of torment, "
Con salsa stemperata di languire.,with a piquant sauce of anguish.
"Languendo lungiamente in tal manera,","While I was languishing for a long time in this way, "
"E non sapea ove trovar socorso,","and not knowing where to find assistance, "
Ché 'l tempo fortunal che m'era corso,for the stormy times I’d suffered 
"M'avea gittato d'ogne bona spera,","had deprived me of any hope,"
"Allor tornò a me, che lungi m'era,","beautiful Reason, who was far away from me, "
"Ragion la bella, e disse: “Tu•sse' corso,","then returned and said: “You may have gone too far, "
"Se•ttu non prendi i•me alcun ricorso,","if you do not seek help from me, "
Po' che Fortuna è 'nverso te sì fera.,since Fortune is so cruel toward you.
Ed i' ò tal vertù dal mi' Segnore,But from the Lord who created me 
"Che mi crïò, ch'i' metto in buono stato",I have such power that I can put in a good state 
Chiunque al mi' consiglio ferma il core;,anyone who follows my advice faithfully.
"E di Fortuna che•tt'à tormentato,","As to Fortune who has tormented you, "
"Se vuogli abandonar il Die d'Amore,","if you want to abandon the God of Love, "
Tosto t'avrò co•llei pacificato”.,I’ll quickly reconcile you with her.”
Quand'i' udì' Ragion che 'l su' consiglio,When I heard the good and fine advice 
"Mi dava buon e fin, sanza fallacie,","of Reason who said, without deception, that she would "
Dicendo di trovarmi acordo e pace,reestablish me in peace and concord 
"Con quella che m'avea messo 'n asiglio,","with that one who had put me in torment,"
"I' le dissi: “Ragion, vec[c]o ch'i' piglio!","I said to her: “Reason, of course I will comply! "
"Ma non ch'i' lasci il mi' signor verace,",Provided that I do not have to leave my true lord;
"Ched i' son su' fedel, e sì mi piace","for I am his faithful servant, and he gives me such pleasure "
Tanto ch'i' l'amo più che padre figlio.,that I love him more than a son loves his father.
Onde di ciò pensar non è mestero,For this reason it is unthinkable 
"Né tra no' due tenerne parlamento,","and unnecessary for us to talk about it, "
Ché non sareb[b]e fatto di leg[g]iero,"for this would not be easily done,"
Perciò ch'i' falseria mi' saramento.,since I would be violating my pledge. 
Megli' amo di Fortuna es[s]er guer[r]ero,I prefer to be an enemy of Fortune
Ched i' a•cciò avesse pensamento”.,than to worry about this.”
"“Falsar tal saramento è san' pec[c]ato,","“To violate such a pledge does not constitute sin, "
"Poi te' ciascun, secondo Dicretale,","since everyone knows, according to the Decretals,"
"Che, se l'uon giura di far alcun male,","that if a man vows to commit a crime, "
"S'e' se ne lascia, non è pergiurato.","and then abstains from doing it, it is not perjury."
Tu mi proposi che tu se' giurato,You say to me that you have sworn allegiance 
"A questo dio, che•tt'à condotto a tale","to this god, who has guided you to such a point "
"C[h]'ogne vivanda mangi sanza sale,","that you eat all foods without salt, "
Sì fortemente t'à disavorato.,so has he made you lose the sense of taste.
E sì si fa chiamar il Die d'Amore:,"And so he has people call him the God of Love, "
"Ma chi così l'apella fa gran torto,","but whoever calls him this makes a great mistake, "
Ché su' sornome dritto sì è Dolore.,for his proper name is Pain.
"Or ti parti da•llui, o tu se' morto,","Now separate yourself from him, or you will die, "
"Né no'l tener giamà' più a signore,","and no longer keep him as your lord, "
E prendi il buon consiglio ch'i' t'aporto”.,and take the good advice I am giving you!”
"“Ragion, tu sì mi vuo' trar[e] d'amare","“Reason, you want to keep me from loving, "
"E di' che questo mi' signor è reo,",and you say that this lord of mine is harmful 
"E ch'e' non fu d'amor unquanche deo,","and that, according to your word, he never was "
"Ma di dolor, secondo il tu' parlare.","the God of Love, but of Pain."
"Da•llui partir non credo ma' pensare,","I would never think of departing from him, "
"Né tal consiglio non vo' creder eo,","nor do I want to follow your advice, "
Chéd egli è mi' segnor ed i' son seo,because he is my Lord and I am his 
"Fedel, sì è follia di ciò parlare.","faithful servant; thus, it’s madness to speak of such things."
Per ch'e' mi par che 'l tu' consiglio sia,For this reason it seems to me that your advice goes 
"Fuor di tu' nome troppo oltre misura,","beyond the bounds of your name,"
Ché sanza amor nonn-è altro che nuìa.,because to be without love is nothing but a burden.
"Se Fortuna m'à tolto or mia ventura,","If Fortune has taken away my good luck, "
"Ella torna la rota tuttavia,","she will continue to turn her wheel, "
E quell'è quel che molto m'asicura”.,and that is what gives me assurance.”
"“Di trareti d'amar nonn-è mia 'ntenza”,","“It is not my intention to keep you from loving,” "
"Disse Ragion, “né da ciò non ti butto,","said Reason, “nor do I want to discourage you from it, "
"Ch'i' vo' ben che•ttu ami il mondo tutto,","for I want you to love dearly the whole world, "
Fermando in Gesocristo tu' credenza.,reinforcing your belief in Jesus Christ.
"E s'ad alcuna da' tua benvoglienza,","And if you give your love to someone, "
Non vo' che•ll'ami sol per lo di,I don’t want you to love her only for pleasure 
utto,"or for delight, but to draw fruit from the relationship, "
"Né per diletto, ma per trarne frutto,",because whoever wishes a different end falls into sin.
Ché chi altro ne vuol cade in sentenza.,"It’s true that there is great delight in that act, "
"Ver è ch'egli à in quel[l]'opera diletto,","which Nature put there as a lure, "
"Che Natura vi mise per richiamo,",in order for men to go to bed with women more often.
Per più sovente star con esse in letto:,"And if it were not so, we well know "
"Che se ciò non vi fos[s]e, ben sap[p]iamo",that few people would engage 
Che poca gente por[r]eb[b]e già petto,in the labor that Adam first began.”
Al lavorio che cominciò Adamo”.,
"I' le dissi: “Ragion, or sie certana,","I said to her: “Reason, since Nature placed "
"Po' che Natura diletto vi mise,","delight in that labor, you may be sure "
"In quel lavor, ched ella no'l v'asise",that she did not put it there 
"Già per nïente, ché non è sì vana,","for no reason at all, for she is not so foolish,"
Ma per continüar la forma umana;,but in order that the human race continue; 
Sì vuol ch'uon si diletti in tutte guise,"indeed, Nature wants man to take delight in many ways "
