,Inferno,Inferno_ita
325,che ’nvidïosi son d’ogne altra sorte. ,che sono invidiosi di qualunque altra sorte
326,Fama di loro il mondo esser non lassa;,Il mondo non permette che di loro resti la fama
327,misericordia e giustizia li sdegna:,non sono tenuti in alcun conto né dalla misericordia di Dio né dalla sua giustizia
328,"non ragioniam di lor, ma guarda e passa"". ","non parliamo di loro, ma guarda e procedi oltre »."
329,"E io, che riguardai, vidi una ’nsegna","E io, che guardai con attenzione, vidi una bandiera"
330,"che girando correva tanto ratta,",che girando correva così veloce 
331,che d’ogne posa mi parea indegna; ,che mi appariva impossibile potesse fermarsi;
332,e dietro le venìa sì lunga tratta,e la seguiva una turba 
333,"di gente, ch’i’ non averei creduto",così numerosa di anime che mai avrei creduto 
334,che morte tanta n’avesse disfatta. ,la morte ne avesse annientata  tanta.
335,"Poscia ch’io v’ebbi alcun riconosciuto,",Dopo che ne ebbi riconosciuti alcuni
336,vidi e conobbi l’ombra di colui,"vidi e riconobbi, cioè individuai  l'anima di colui "
337,che fece per viltade il gran rifiuto. ,che fece il grande rifiuto a causa della sua viltà
338,Incontanente intesi e certo fui,Immediatamente compresi e fui sicuro 
339,"che questa era la setta d’i cattivi,",che questa era la schiera  dei vili 
340,a Dio spiacenti e a’ nemici sui. ,"che spiacciono a Dio, perché non hanno fatto il bene, e ai nemici di Dio, perché non hanno compiuto nemmeno il male"
341,"Questi sciaurati, che mai non fur vivi,",Questi sventurati che vissero come se fossero già morti
342,erano ignudi e stimolati molto,"erano nudi, continuamente punti da mosconi "
343,da mosconi e da vespe ch’eran ivi. ,e da vespe che si aggiravano nella zona
344,"Elle rigavan lor di sangue il volto,","Esse rigavano il loro volto di sangue che, "
345,"che, mischiato di lagrime, a’ lor piedi","mescolato alle lacrime, veniva raccolto  "
346,da fastidiosi vermi era ricolto. ,ai loro piedi da vermi ripugnanti .
347,"E poi ch’a riguardar oltre mi diedi,",E dopo che mi misi a guardare attentamente avanti 
348,vidi genti a la riva d’un gran fiume;,vidi delle anime presso la riva di un grande fiume;
349,"per ch’io dissi: ""Maestro, or mi concedi ",per cui dissi: «Maestro concedimi ora 
350,"ch’i’ sappia quali sono, e qual costume","che io conosca chi sono, e quale consuetudine che diventa legge  "
351,"le fa di trapassar parer sì pronte,","le fa sembrare ansiose di oltrepassare il fiume,"
352,"com’i’ discerno per lo fioco lume"". ",come io riesco a vedere  attraverso la debole luce».
353,"Ed elli a me: ""Le cose ti fier conte","Ed egli mi rispose: «Conoscerai  ogni cosa, "
354,quando noi fermerem li nostri passi,quando fermeremo i nostri passi 
355,"su la trista riviera d’Acheronte"". ",sulla squallida e dolorosa  riva del fiume Acheronte».
356,"Allor con li occhi vergognosi e bassi,","Allora con gli occhi bassi per la vergogna , "
357,"temendo no ’l mio dir li fosse grave,","per il timore che il mio discorrere gli fosse molesto , "
358,infino al fiume del parlar mi trassi. ,mi trattenni dal parlare fino al fiume.
359,Ed ecco verso noi venir per nave,"Ed ecco verso di noi venire su  una barca un vecchio, "
360,"un vecchio, bianco per antico pelo,","con pelo bianco per l’età , "
361,"gridando: ""Guai a voi, anime prave! ","che gridava: «Maledette voi, anime malvagie ! "
362,Non isperate mai veder lo cielo:,Non sperate di vedere mai più il cielo: 
363,i’ vegno per menarvi a l’altra riva,"io vengo per trasportarvi sull’altra sponda, "
364,"ne le tenebre etterne, in caldo e ’n gelo. ","nelle tenebre eterne, nel fuoco  e nel gelo."
365,"E tu che se’ costì, anima viva,","E tu che sei in questo luogo, anima ancora in vita, "
366,"pàrtiti da cotesti che son morti"".",allontanati  da costoro che sono morti». 
367,"Ma poi che vide ch’io non mi partiva, ","Visto però che non mi allontanavo, disse:"
368,"disse: ""Per altra via, per altri porti","«Seguendo un’altra strada, passando per altri porti,"
369,"verrai a piaggia, non qui, per passare:","non qui, tu giungerai sulla riva; "
370,"più lieve legno convien che ti porti"". ",una barca  più leggera ti dovrà traghettare».
371,"E ’l duca lui: ""Caron, non ti crucciare:","E la guida  a lui: «Caronte, non ti incollerire: "
372,vuolsi così colà dove si puote,si è stabilito così là dove si può tutto ciò
373,"ciò che si vuole, e più non dimandare"". ","che si vuole, e non domandare altro»."
374,Quinci fuor quete le lanose gote,Da quel momento  si quietarono le guance 
375,"al nocchier de la livida palude,","coperte di barba al nocchiero della limacciosa palude,"
376,che ’ntorno a li occhi avea di fiamme rote. ,che aveva due cerchi  infuocati intorno agli occhi.
377,"Ma quell’anime, ch’eran lasse e nude,","Ma quelle anime, che erano nude e affrante , "
378,"cangiar colore e dibattero i denti,",cambiarono colore e batterono i denti
379,ratto che ’nteser le parole crude. ,appena  udirono quelle parole dure .
380,"Bestemmiavano Dio e lor parenti,","Bestemmiavano contro Dio, contro i genitori , "
381,l’umana spezie e ’l loco e ’l tempo e ’l seme,"contro il genere  umano, contro il luogo, il tempo, i fondatori  della"
382,di lor semenza e di lor nascimenti. ,loro stirpe  e gli artefici del loro concepimento . 
383,"Poi si ritrasser tutte quante insieme,","Poi si radunarono tutte quante insieme,"
384,"forte piangendo, a la riva malvagia","piangendo forte, presso la riva dannata"
385,ch’attende ciascun uom che Dio non teme. ,che attende tutti quelli che non temono Dio.
386,"Caron dimonio, con occhi di bragia","Il demonio Caronte, per mezzo di cenni "
387,"loro accennando, tutte le raccoglie;","con gli occhi rossi come il fuoco , le riunisce tutte; "
388,batte col remo qualunque s'adagia. ,batte con il remo chiunque indugia.
389,Come d’autunno si levan le foglie,Come in autunno le foglie si staccano  
390,"l’una appresso de l’altra, fin che ’l ramo","una dopo l’altra, finché il ramo "
391,"vede a la terra tutte le sue spoglie, ","vede a terra tutte le sue spoglie, "
392,similemente il mal seme d’Adamo,nello stesso modo i malvagi discendenti  di Adamo.
393,"gittansi di quel lito ad una ad una,","si slanciano da quella spiaggia  a uno a uno, "
394,per cenni come augel per suo richiamo. ,"secondo i cenni, come fa l’uccello quando risponde al richiamo."
395,"Così sen vanno su per l’onda bruna,","Se ne vanno così sull’acqua  cupa,"
396,"e avanti che sien di là discese,","e prima  che siano giunti all’altra sponda, di"
397,anche di qua nuova schiera s’auna. ,nuovo  un’altra schiera si è qui ammassata.
398,"""Figliuol mio"", disse 'l maestro cortese,","«Figliolo mio», disse il maestro gentile,"
399,"""quelli che muoion ne l'ira di Dio",«quelli che muoiono in disgrazia  di Dio da
400,tutti convegnon qui d'ogne paese; ,ogni parte  si trovano  tutti qui;
401,"e pronti sono a trapassar lo rio,","e sono così ansiosi di attraversare il fiume, poiché"
402,"ché la divina giustizia li sprona,","la divina giustizia li sospinge in modo tale, che la"
403,sì che la tema si volve in disio. ,paura si converte  in desiderio. Di qui non
404,Quinci non passa mai anima buona;,"passa mai anima in grazia , perciò  se"
405,"e però, se Caron di te si lagna,","Caronte si lamenta di te, puoi facilmente intendere"
406,"ben puoi sapere omai che ’l suo dir suona"". ",che cosa significhi  il suo parlare».
407,"Finito questo, la buia campagna","Terminate queste parole , la terra"
408,"tremò sì forte, che de lo spavento","senza luce  tremò così forte, "
409,la mente di sudore ancor mi bagna. ,che il ricordo  dello spavento ancora mi inonda di sudore.
410,"La terra lagrimosa diede vento,","Quella terra bagnata di lacrime  sprigionò  un vento, "
411,che balenò una luce vermiglia,che provocò un lampo dalla luce rossastra 
412,la qual mi vinse ciascun sentimento; ,che sopraffece  ogni mia facoltà ; 
413,e caddi come l’uom cui sonno piglia.,e caddi come l’uomo che prende sonno.
414,Ruppemi l’alto sonno ne la testa,Mi interruppe il sonno profondo  nella testa 
415,"un greve truono, sì ch’io mi riscossi","un forte  tuono, così che io mi risvegliai,"
416,come persona ch’è per forza desta;,come chi è destato bruscamente ; 
417,"e l’occhio riposato intorno mossi,","e volsi intorno lo sguardo  riposato,"
418,"dritto levato, e fiso riguardai","levatomi in piedi , e guardai con attenzione "
419,per conoscer lo loco dov’io fossi. ,per riconoscere il luogo dov’ero.
420,Vero è che ’n su la proda mi trovai,Certo è che mi trovai sull’orlo  
421,de la valle d’abisso dolorosa,di quella cavità infernale  piena di sofferenza  
422,che ’ntrono accoglie d’infiniti guai. ,che raccoglie  il fragore  di lamenti  senza fine. 
423,Oscura e profonda era e nebulosa,"Era buia, profonda e nebbiosa, "
424,"tanto che, per ficcar lo viso a fondo,","tanto che, per quanto aguzzassi la vista  in profondità, "
425,io non vi discernea alcuna cosa. ,io non distinguevo nulla.
426,"""Or discendiam qua giù nel cieco mondo"",","«Ora discendiamo giù nel mondo senza luce », "
427,cominciò il poeta tutto smorto.,cominciò a dire il poeta molto pallido. 
428,"""Io sarò primo, e tu sarai secondo"". ","«Io camminerò davanti, e tu mi seguirai»."
429,"E io, che del color mi fui accorto,","E io, che mi ero accorto del suo pallore ,"
430,"dissi: ""Come verrò, se tu paventi","dissi: «Come potrei seguirti, se hai paura "
431,"che suoli al mio dubbiare esser conforto?"". ","anche tu, che sei solito essere sostegno  al mio esitare ?»."
432,"Ed elli a me: ""L’angoscia de le genti",Ed egli a me: «È l'angoscia per la condizione delle anime 
433,"che son qua giù, nel viso mi dipigne","che qui si trovano, a riflettermi sul viso "
434,quella pietà che tu per tema senti. ,quella pietà da te intesa come paura .
435,"Andiam, ché la via lunga ne sospigne"".","Andiamo, poiché ci incalza  un lungo cammino». "
436,Così si mise e così mi fé intrare,Così dicendo entrò  e mi introdusse
437,nel primo cerchio che l’abisso cigne. ,nel primo cerchio  che circonda  il baratro infernale.
438,"Quivi, secondo che per ascoltare,","Qui, per quanto si riusciva a sentire, "
439,non avea pianto mai che di sospiri,non c'era  pianto ma soltanto  sospiri 
440,che l’aura etterna facevan tremare; ,che facevano tremare l'aria di quel luogo eterno;
441,"ciò avvenia di duol sanza martìri,","questo accadeva per le sofferenze non dovute a tormenti fisici , "
442,"ch’avean le turbe, ch’eran molte e grandi,","che pativano quelle schiere, che erano molte e numerose, "
443,d’infanti e di femmine e di viri. ,"di bambini, di donne e uomini ."
444,"Lo buon maestro a me: ""Tu non dimandi",Il buon maestro mi disse: «Non mi domandi
445,che spiriti son questi che tu vedi?,chi sono questi spiriti che vedi? 
446,"Or vo’ che sappi, innanzi che più andi, ","Ora io voglio che tu sappia, prima che tu proceda  oltre, "
447,"ch’ei non peccaro; e s’elli hanno mercedi,","che essi non peccarono; il fatto che abbiano dei meriti ,"
448,"non basta, perché non ebber battesmo,","non è sufficiente , perché non ricevettero il battesimo, "
449,ch’è porta de la fede che tu credi; ,che è l'accesso indispensabile  della fede in cui tu credi; 
450,"e s’e’ furon dinanzi al cristianesmo,","e se sono vissuti prima del cristianesimo, "
451,non adorar debitamente a Dio:,non adorarono Dio in modo dovuto : 
452,e di questi cotai son io medesmo. ,e tra costoro sono io stesso.
453,"Per tai difetti, non per altro rio,","Per tale mancanza , non per altra colpa , "
454,"semo perduti, e sol di tanto offesi","siamo condannati , puniti  soltanto in questo: "
455,"che sanza speme vivemo in disio"". ",che viviamo nel desiderio  senza speranza».
456,"Gran duol mi prese al cor quando lo ’ntesi,","Un grande dolore mi strinse il cuore quando lo ascoltai, "
457,però che gente di molto valore,perché capii che anche genti di grande valore
458,conobbi che ’n quel limbo eran sospesi. ,erano sospese  in quel Limbo. 
459,"""Dimmi, maestro mio, dimmi, segnore"",","«Dimmi, maestro mio, dimmi, signore», "
460,comincia’ io per volere esser certo,"cominciai io a dire, volendo essere confermato "
461,di quella fede che vince ogne errore: ,con quella fede che supera ogni dubbio : 
462,"""uscicci mai alcuno, o per suo merto",«di qui è mai uscito qualcuno per merito proprio 
463,"o per altrui, che poi fosse beato?"".","o di altri, che poi fosse beato ?»."
464,"E quei che ’ntese il mio parlar coverto, ","Ed egli, che aveva inteso il mio parlare per allusioni , "
465,"rispuose: ""Io era nuovo in questo stato,","rispose: «Mi trovavo ancora da poco tempo in questa condizione, "
466,"quando ci vidi venire un possente,","quando vidi giungere un potente, "
467,con segno di vittoria coronato. ,coronato con l’emblema della vittoria .
468,"Trasseci l’ombra del primo parente,","Trasse di qui  l'anima  di Adamo, primo padre  dell'umanità, "
469,"d’Abèl suo figlio e quella di Noè,","di suo figlio Abele e di Noè, "
470,di Moïsè legista e ubidente; ,di Mosè legislatore e ubbidiente; 
471,"Abraàm patrïarca e Davìd re,","il patriarca Abramo e il re Davide, "
472,Israèl con lo padre e co’ suoi nati,Giacobbe  con il padre Isacco e i figli
473,"e con Rachele, per cui tanto fé, ","e la moglie Rachele, per sposare la quale per lungo tempo  lavorò ,"
474,"e altri molti, e feceli beati.","e insieme molti altri, e li rese beati. "
475,"E vo’ che sappi che, dinanzi ad essi,","E voglio che tu sappia che, prima di loro , "
476,"spiriti umani non eran salvati"". ",nessun uomo si era salvato».
477,"Non lasciavam l’andar perch’ei dicessi,","Non interrompevamo il cammino perché egli parlava, "
478,"ma passavam la selva tuttavia,","ma attraversavamo ancora  la selva,"
479,"la selva, dico, di spiriti spessi. ","la selva, voglio dire, affollata  di anime."
